Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_0 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 2.131358896688977}
Results for TFG_1D_0 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 2.131358896688977}
Results for TFG_1D_0 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 2.131358896688977}
Results for TFG_1D_0 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 2.131358896688977}
Results for TFG_1D_1 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.557436322308155}
Results for TFG_1D_1 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.557436322308155}
Results for TFG_1D_1 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.557436322308155}
Results for TFG_1D_1 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.557436322308155}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Results for TFG_1D_0 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 2.131358896688977}
Results for TFG_1D_1 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.557436322308155}
Results for TFG_1D_2 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 5.12740686106098}
Results for TFG_1D_3 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 3.7433362521191573}
Results for TFG_1D_4 {'kalman_filter': None, 'doppler_threshold': 1.75, 'outlier_removal': 1.75, 'frequency_lookup_width': 100} = {'Avg error': 35.5816918143978}
Total avg error: 10.028246029315014
